text,true_label,predicted_label
sauce?,ham,spam
nutter. cutter. ctter. cttergg. cttargg. ctargg. ctagg. ie you,ham,spam
would you like to know what the powerball winning lottery numbers will be in the morning if so just follow this link url although every attempt is made to ensure that this list of numbers is accurate the official winning numbers are recorded in the official draw files as certified by the independent accounting firm at the request of our players these numbers are listed in numerical order wednesday september 1635465 1635465 draw results 1635465 1635465 1635465 1635465 1635465 pb 1635465 pp 1635465 or visit url are you tired of your job then please visit url it s time to retire,spam,ham
here,spam,ham
are you free now?can i call now?,ham,spam
"ist ihr arbeitsplatz wirklich sicher ? sind sie zufrieden mit dem , was sie bisher finanziell erreicht haben ? ist ihr eigenheim schon bezahlt ? passen ihre finanziellen möglichkeiten zu ihren wünschen und träumen ? voice - over - ip erobert den weltmarkt wenn sie an diesem globalen multi - milliarden - markt mitverdienen wollen , dann fordern sie weitere infos an unter : pm 20052 @ gmx . net diese mail ist kein spam sie erhalten diese infomail , weil sie entweder infos bei uns oder einem unserer partnerangefordert haben , uns selbst info sendeten , ihre e - mail adresse in kleinanzeigen - märkten veröffentlicht haben oder auf einem anderen weg ( ffa ) , in diesen verteiler gekommen sind . sollten sie aus unserem hause keine infomails mehr wünschen , senden sie bitte diese infomail , mit folgendem betreff zurück : bitte aus der adressliste austragen benutzen sie hierzu bitte die antwortfunktion ihres browsers .",spam,ham
don ' t be like that . . . : ) tororane,spam,ham
jim lokay sales representative british parts international 800 - 231 - 6563 ext . 548 mailto : 548 @ britishparts . com,ham,spam
𝑪𝒆ʞo͎ 🃏 is afk ⏳ since 5 hours 50 minutes and 18 seconds reason 🍂,ham,spam
nokia e7 the ultimate business smartphone view edit office documents sync to work emails and do lots more with ovi apps,spam,ham
ing tong yes koun? main sms kya chaiye? aapke chehre par pyari si smile! haan yehi wali good mornin,ham,spam
", ow u dey.i paid 60,400thousad.i told u would call .",ham,spam
slim wallet,ham,spam
hw r u comin? raf ka kya scene hai?,ham,spam
ogix the best builder in noida launch 2/3/4 bhk 18 month possesn guaranted 100green facing appartments nxt 2 xprsway metro call801000271,spam,ham
butuh waktu lama untuk sembuh dari hubungan yang sebenarnya hanya sebentar,ham,spam
"sehr geehrte damen und herren , leider ist uns bei unserem newsletterversand ein schwerer fehler unterlaufen . sie hätten unseren newsletter nie bekommen sollen , da sie ihn nicht aboniert haben . hier wurden leider e - mails worunter auch ihre fällt mit unseren in der datenbank vermischt , was eindeutig unser fehler war . wir haben sie weder in unseren verteiler noch in unsere maillingliste aufgenommen . leider ist dies gerade erst aufgefallen . bitte entschuldigen sie , falls wir sie dadurch belästig haben sollten . wir versichern ihnen , falls sie nicht zu unseren abonnenten gehören , werden sie keine weiteren e - mails mehr von uns erhalten . vielen dank für ihr verständnis . mit freundlichen grüssen gordon kindler",spam,ham
s/ / /g,ham,spam
videos,ham,spam
click on the link see where it goes,ham,spam
abhi mai passout hojata,ham,spam
fix tokenpy,ham,spam
notes from naomi connell ' s ny meetings have been posted on s \ mg \ administration \ meeting reports under mg ny - overview . doc mg ny - support . doc my ny - cu concentrates . doc,ham,spam
bully,ham,spam
suppliers of computers printers etc consumables central data supplies 1635465 middleton road banbury oxon ox1635465 1635465qj tel 1635465 1635465 fax 1635465 1635465 est 1635465 good afternoon please find below the pricing and specification of the laptops which currently have available in stock for immediate despatch ibm thinkpad 1635465el laptop computer stock ref 1635465 intel pentium 1635465 1635465mhz processor 1635465mb ram 1635465gb hard drive 1635465 1635465 tft display sound speakers no modem no cd rom drive internal 1635465 1635465 floppy drive 1635465 months warranty 1635465 ibm thinkpad 1635465l laptop computer stock ref 1635465 intel pentium 1635465 1635465mhz processor 1635465mb ram 1635465gb hard drive 1635465 1635465 tft display sound speakers no modem no cd rom drive intern,spam,ham
