text,true_label,predicted_label
"see what raant to help you get loyments , with no hack",spam,ham
nutter. cutter. ctter. cttergg. cttargg. ctargg. ctagg. ie you,ham,spam
would you like to know what the powerball winning lottery numbers will be in the morning if so just follow this link url although every attempt is made to ensure that this list of numbers is accurate the official winning numbers are recorded in the official draw files as certified by the independent accounting firm at the request of our players these numbers are listed in numerical order wednesday september 1635465 1635465 draw results 1635465 1635465 1635465 1635465 1635465 pb 1635465 pp 1635465 or visit url are you tired of your job then please visit url it s time to retire,spam,ham
here,spam,ham
goodbye tote hubbardrufus strewn aldercandid catlike leftmostarchibald guenther wildcatremington complexion annaldemystify applaud comparisonverb virginal caviardecompress delusion builtinyorktown writ daytimeniobe,spam,ham
💯 𝙿𝚁𝙴𝙼𝙸𝚄𝙼 𝙰𝙲𝙲𝙾𝚄𝙽𝚃𝚂 𝚂𝙰𝙻𝙴 💯 💙 𝙰𝙼𝙰𝚉𝙾𝙽 𝙿𝚁𝙸𝙼𝙴: 25₹ 💙 𝚅𝙾𝙾𝚃 𝚂𝙴𝙻𝙴𝙲𝚃: 30₹ 💙 𝚅𝙾𝙾𝚃 𝙺𝙸𝙳𝚂: 30₹ 💙 𝚉𝙴𝙴5: 50₹ 💙 𝙾𝙷𝙾 𝙶𝚄𝙹𝙰𝚁𝙰𝚃𝙸 𝙾𝚃𝚃 : 50₹ 💙 𝙰𝙷𝙰: 50₹ 💙 𝙲𝙰𝙽𝚅𝙰 𝙿𝚁𝙾: 30₹ 💙 𝙰𝙻𝚃𝙱𝙰𝙻𝙰𝙹𝙸: 30₹ 💙 𝙽𝚄𝙴𝙵𝙻𝙸𝙲𝙺𝚂: 30₹ 💙 𝙰𝙼𝙰𝚉𝙾𝙽 𝙰𝚄𝙳𝙸𝙱𝙻𝙴: 50₹ 💙 𝙿𝙸𝙲𝚂𝙰𝚁𝚃 𝙶𝙾𝙻𝙳: 50₹ 3 𝙼𝙾𝙽𝚃𝙷𝚂 〰〰〰〰〰〰〰〰〰〰〰〰 💯 𝙾𝚃𝙷𝙴𝚁 𝙰𝙲𝙲𝙾𝚄𝙽𝚃𝚂 💙 𝚃𝙸𝙳𝙰𝙻 💙 𝙽𝙰𝙿𝚂𝚃𝙴𝚁 💙 𝙳𝙴𝙴𝚉𝙴𝚁 💙 𝙰𝙿𝙿𝙻𝙴 𝙼𝚄𝚂𝙸𝙲 💙 𝙳𝙸𝚂𝙽𝙴𝚈 💙 𝙴𝚂𝙿𝙽 💙 𝙷𝚄𝙻𝚄 𝙿𝚁𝙴𝙼𝙸𝚄𝙼 💙 𝙽𝙾𝚁𝙳 𝚅𝙿𝙽 💙 𝙷𝙼𝙰 𝚅𝙿𝙽 💙 𝙽𝙰𝙼𝙴𝙲𝙷𝙴𝙰𝙿 𝚅𝙿𝙽 💙 𝚅𝙴𝙴𝙿𝙽 𝚅𝙿𝙽 💙 𝚂𝙴𝙴𝙳4𝙼𝙴 𝚅𝙿𝙽 💙 𝙺𝙴𝙴𝙿𝚂𝙾𝙻𝙸𝙳 𝚅𝙿𝙽 〰〰〰〰〰〰〰〰〰〰〰〰〰〰〰〰 💯 𝚂𝙴𝙻𝙻𝙸𝙽𝙶 𝙾𝚃𝙿 𝙵𝙾𝚁 𝚃𝙴𝙻𝙴𝙶𝚁𝙰𝙼 💯 💰 𝙿𝙰𝚈𝙼𝙴𝙽𝚃: 𝙿𝙰𝚈𝚃𝙼𝚄𝙿𝙸 𝙱𝚃𝙲 💰 💯 𝙴𝚂𝙲𝚁𝙾𝚆 𝚆𝙸𝚃𝙷 𝚃𝚁𝚄𝚂𝚃𝙴𝙳 𝙰𝙳𝙼𝙸𝙽𝚂 💯,spam,ham
are you free now?can i call now?,ham,spam
"ist ihr arbeitsplatz wirklich sicher ? sind sie zufrieden mit dem , was sie bisher finanziell erreicht haben ? ist ihr eigenheim schon bezahlt ? passen ihre finanziellen möglichkeiten zu ihren wünschen und träumen ? voice - over - ip erobert den weltmarkt wenn sie an diesem globalen multi - milliarden - markt mitverdienen wollen , dann fordern sie weitere infos an unter : pm 20052 @ gmx . net diese mail ist kein spam sie erhalten diese infomail , weil sie entweder infos bei uns oder einem unserer partnerangefordert haben , uns selbst info sendeten , ihre e - mail adresse in kleinanzeigen - märkten veröffentlicht haben oder auf einem anderen weg ( ffa ) , in diesen verteiler gekommen sind . sollten sie aus unserem hause keine infomails mehr wünschen , senden sie bitte diese infomail , mit folgendem betreff zurück : bitte aus der adressliste austragen benutzen sie hierzu bitte die antwortfunktion ihres browsers .",spam,ham
don ' t be like that . . . : ) tororane,spam,ham
𝑪𝒆ʞo͎ 🃏 is afk ⏳ since 5 hours 50 minutes and 18 seconds reason 🍂,ham,spam
