text,true_label,predicted_label
would you like to know what the powerball winning lottery numbers will be in the morning if so just follow this link url although every attempt is made to ensure that this list of numbers is accurate the official winning numbers are recorded in the official draw files as certified by the independent accounting firm at the request of our players these numbers are listed in numerical order wednesday september 1635465 1635465 draw results 1635465 1635465 1635465 1635465 1635465 pb 1635465 pp 1635465 or visit url are you tired of your job then please visit url it s time to retire,spam,ham
goodbye tote hubbardrufus strewn aldercandid catlike leftmostarchibald guenther wildcatremington complexion annaldemystify applaud comparisonverb virginal caviardecompress delusion builtinyorktown writ daytimeniobe,spam,ham
are you free now?can i call now?,ham,spam
"? "" ? ? ?  ?  ? ³ ? ? ? ? ? , , hi again , i noticed that i didn ' t get a response from my last email to you . i ' m using a new tool called plaxo to update my address book . your information will not be shared with anyone else . you do not need to download any software or register to send me your information . please take a moment to review the information below and click the button to correct or confirm your contact information . if you want to update your address book too , get plaxo at http : / / www . plaxo . com / downloads . thanks , ?t? ¬ ?f? ? ? ½ ? £ ? ? ? ? ? ? ? ± ? ,",spam,ham
"ist ihr arbeitsplatz wirklich sicher ? sind sie zufrieden mit dem , was sie bisher finanziell erreicht haben ? ist ihr eigenheim schon bezahlt ? passen ihre finanziellen möglichkeiten zu ihren wünschen und träumen ? voice - over - ip erobert den weltmarkt wenn sie an diesem globalen multi - milliarden - markt mitverdienen wollen , dann fordern sie weitere infos an unter : pm 20052 @ gmx . net diese mail ist kein spam sie erhalten diese infomail , weil sie entweder infos bei uns oder einem unserer partnerangefordert haben , uns selbst info sendeten , ihre e - mail adresse in kleinanzeigen - märkten veröffentlicht haben oder auf einem anderen weg ( ffa ) , in diesen verteiler gekommen sind . sollten sie aus unserem hause keine infomails mehr wünschen , senden sie bitte diese infomail , mit folgendem betreff zurück : bitte aus der adressliste austragen benutzen sie hierzu bitte die antwortfunktion ihres browsers .",spam,ham
from here after the performance award is calculated every two monthnot for current one month period,ham,spam
don ' t be like that . . . : ) tororane,spam,ham
𝑪𝒆ʞo͎ 🃏 is afk ⏳ since 5 hours 50 minutes and 18 seconds reason 🍂,ham,spam
nokia e7 the ultimate business smartphone view edit office documents sync to work emails and do lots more with ovi apps,spam,ham
ing tong yes koun? main sms kya chaiye? aapke chehre par pyari si smile! haan yehi wali good mornin,ham,spam
